PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER_q1,RAPE_q1,ROBBERY_q1,FELONY ASSAULT_q1,BURGLARY_q1,GRAND LARCENY_q1,GRAND LARCENY OF MOTOR VEHICLE_q1,TOTAL_q1,MURDER_q2,RAPE_q2,ROBBERY_q2,FELONY ASSAULT_q2,BURGLARY_q2,GRAND LARCENY_q2,GRAND LARCENY OF MOTOR VEHICLE_q2,TOTAL_q2,MURDER_q3,RAPE_q3,ROBBERY_q3,FELONY ASSAULT_q3,BURGLARY_q3,GRAND LARCENY_q3,GRAND LARCENY OF MOTOR VEHICLE_q3,TOTAL_q3,TOTAL,CRIME OR NOT,CRIME OR NOT_q1,CRIME OR NOT_q2,CRIME OR NOT_q3
PRALLS ISLAND,STATEN ISLAND,107.51 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MARINERS MARSH PARK,STATEN ISLAND,107.20 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
DOUGLASTON PARK GOLF COURSE,QUEENS       ,104.60 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
LEMON CREEK PARK,STATEN ISLAND,104.55 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
SPRING CREEK PARK,BROOKLYN/QUEENS,99.57 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
HIGH ROCK PARK,STATEN ISLAND,94.10 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
LONG POND PARK,STATEN ISLAND,91.95 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BROOKVILLE PARK,QUEENS       ,89.95 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0,0,0,0,0,1 ,0,1 ,0 ,0,0,0,0,0,0,0 ,2 ,1 ,1,1,0
ISLE OF MEADOWS,STATEN ISLAND,87.52 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
CALVERT VAUX PARK,BROOKLYN     ,85.53 ,ONE ACRE OR LARGER,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0,0,1 ,0,0,0,0,1 ,0 ,0,1 ,0,0,0,0,1 ,3 ,1 ,1,1,1
PUGSLEY CREEK PARK,BRONX        ,83.62 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0,0,0,0,0,0,0,0 ,0 ,0,2 ,0,0,0,0,2 ,3 ,1 ,1,0,1
SNUG HARBOR CULTURAL CENTER,STATEN ISLAND,83.30 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,0,0,0,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
MOSHOLU PARKWAY,BRONX        ,80.94 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,3 ,0,0,0,0,3 ,3 ,1 ,0,0,1
MCGUIRE FIELDS,BROOKLYN     ,77.18 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
FRESH CREEK NATURE PRESERVE,BROOKLYN     ,77.04 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
JACKIE ROBINSON PARKWAY,BROOKLYN/QUEENS,72.75 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
FORT TRYON PARK,MANHATTAN    ,67.21 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,1 ,0 ,2 ,0,0,0,0,0,2 ,0,2 ,0 ,0,0,0,0,0,0,0 ,4 ,1 ,1,1,0
RIVERSIDE PARK SOUTH,MANHATTAN    ,66.69 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,2 ,0,2 ,0 ,0,0,1 ,0,0,0,1 ,3 ,1 ,0,1,1
EASTERN PARKWAY,BROOKLYN     ,65.70 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
FOUR SPARROW MARSH,BROOKLYN     ,64.67 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
FORT TOTTEN PARK,QUEENS       ,60.39 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,1 ,0,1 ,1 ,1 ,0,0,1
ASTORIA PARK,QUEENS       ,59.96 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,3 ,2 ,0,0,0,5 ,0 ,0,0,4 ,0,0,0,4 ,9 ,1 ,0,1,1
LAURELTON PARKWAY,QUEENS       ,59.61 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
RED HOOK RECREATION AREA,BROOKLYN     ,58.50 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0,0,0,0,0,1 ,0,1 ,0 ,0,0,0,0,0,0,0 ,2 ,1 ,1,1,0
SHORE PARK AND PARKWAY,BROOKLYN     ,58.00 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
SPRING CREEK PARK ADDITION,BROOKLYN/QUEENS,57.92 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
JUNIPER VALLEY PARK,QUEENS       ,55.64 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,1 ,0,1 ,0 ,0,1 ,0,0,0,0,1 ,2 ,1 ,0,1,1
LITTLE BAY PARK,QUEENS       ,55.22 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,1 ,0,0,0,1 ,1 ,1 ,0,0,1
POWELL'S COVE PARK,QUEENS       ,55.02 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
HENRY HUDSON PARKWAY,BRONX        ,54.10 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
HARLEM RIVER PARK,MANHATTAN    ,53.97 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0,0,1 ,0,0,0,0,1 ,0 ,0,1 ,0,0,0,0,1 ,3 ,1 ,1,1,1
DUBOS POINT WILDLIFE SANCTUARY,QUEENS       ,53.30 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
ROY WILKINS RECREATION CENTER,QUEENS       ,53.24 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,1 ,0,1 ,0 ,0,0,1 ,0,0,0,1 ,2 ,1 ,0,1,1
REED'S BASKET WILLOW SWAMP PARK,STATEN ISLAND,52.38 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
