PARK,TOTAL,BOROUGH,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE
BLEECKER PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
MCLAUGHLIN PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
HARLEM ART PARK,0,MANHATTAN,0,0,0,0,0,0,0
VINCENT F. ALBANO JR. PLAYGROUND,1,MANHATTAN,0,0,1,0,0,0,0
JEROME PLAYGROUND SOUTH,0,BRONX,0,0,0,0,0,0,0
ST. MARY'S PARK BROOKLYN,0,BROOKLYN,0,0,0,0,0,0,0
WALTON PARK,0,BRONX,0,0,0,0,0,0,0
REV LENA IRONS UNITY PARK,0,BRONX,0,0,0,0,0,0,0
SUTTON PLACE PARK,0,MANHATTAN,0,0,0,0,0,0,0
KINGSBRIDGE HEIGHTS COMMUNITY CENTER,0,BRONX,0,0,0,0,0,0,0
MACARTHUR PARK,0,MANHATTAN,0,0,0,0,0,0,0
SLEDGE PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
BERRY PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
FREEDOM SQUARE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
LONG ISLAND MEWS,0,QUEENS,0,0,0,0,0,0,0
BLACK ROCK PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
HOT SPOT TOT LOT,0,BROOKLYN,0,0,0,0,0,0,0
RODNEY PLAYGROUND SOUTH,0,BROOKLYN,0,0,0,0,0,0,0
BRIDGE AND TUNNEL PARK,0,QUEENS,0,0,0,0,0,0,0
STOP & GO PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
MACLAUGHLIN PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
HARRY CHAPIN PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
ANNADALE GREEN,0,STATEN ISLAND,0,0,0,0,0,0,0
WEEKSVILLE PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
DODGER PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
RODNEY PLAYGROUND NORTH,0,BROOKLYN,0,0,0,0,0,0,0
ELIZABETH STROUD PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
HANSBOROUGH RECREATION CENTER,0,MANHATTAN,0,0,0,0,0,0,0
A.R.R.O.W. FIELD HOUSE,0,QUEENS,0,0,0,0,0,0,0
JENNIE JEROME PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
PLAYGROUND 115,0,QUEENS,0,0,0,0,0,0,0
MARINERS HARBOR PLAYGROUND,0,STATEN ISLAND,0,0,0,0,0,0,0
YOUTH VILLAGE,0,BRONX,0,0,0,0,0,0,0
BEANSTALK PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
DESALVIO PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
DAN ROSS PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
DREAM STREET PARK,0,MANHATTAN,0,0,0,0,0,0,0
SIDNEY HILLMAN PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
SUNSHINE PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
RODNEY PARK CENTER,0,BROOKLYN,0,0,0,0,0,0,0
ST. GREGORY'S PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
SORRENTINO RECREATION CENTER,0,QUEENS,0,0,0,0,0,0,0
UMMA PARK,0,BROOKLYN,0,0,0,0,0,0,0
WILLIAM F MOORE PARK,0,QUEENS,0,0,0,0,0,0,0
OGDEN PLIMPTON PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
MARY O'CONNOR PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
GENE GRAY PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
DOWNING STREET PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
PLAYGROUND THIRTY FIVE XXXV,0,QUEENS,0,0,0,0,0,0,0
ROLF HENRY PLAYGROUND,1,BROOKLYN,0,0,0,0,0,1,0
P.S. 125 PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
TONY DAPOLITO RECREATION CENTER,0,MANHATTAN,0,0,0,0,0,0,0
DAVIDSON PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
ASTORIA HEALTH PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
CHIARANTANO PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
MINETTA PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
CORONA MAC PARK,0,QUEENS,0,0,0,0,0,0,0
THORPE FAMILY PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
SUNNERS PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
TUDOR GROVE PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
RODNEY PLAYGROUND CENTER,0,BROOKLYN,0,0,0,0,0,0,0
SEABURY PARK,0,BRONX,0,0,0,0,0,0,0
EAE J MITCHELL PARK,0,BRONX,0,0,0,0,0,0,0
PENN TRIANGLE,0,BROOKLYN,0,0,0,0,0,0,0
METROPOLITAN RECREATION CENTER,0,BROOKLYN,0,0,0,0,0,0,0
RAMON APONTE PARK,0,MANHATTAN,0,0,0,0,0,0,0
FIELD OF DREAMS PARK,0,BRONX,0,0,0,0,0,0,0
BILL BOJANGLES ROBINSON PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
RECREATION CENTER 54,0,MANHATTAN,0,0,0,0,0,0,0
PEARL ST PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
LEWIS PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
NORTH PACIFIC PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
MORRIS MESA,0,BRONX,0,0,0,0,0,0,0
PEACE PARK,0,BRONX,0,0,0,0,0,0,0
DUKE PARK,0,BROOKLYN,0,0,0,0,0,0,0
SOBEL PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
CAPTAIN JACOB JOSEPH PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
GRAND CANAL COURT,0,MANHATTAN,0,0,0,0,0,0,0
LT. FEDERICO NARVAEZ TOT LOT,0,BROOKLYN,0,0,0,0,0,0,0
WEST 186TH STREET BASKETBALL COURT,0,MANHATTAN,0,0,0,0,0,0,0
SOPHIE IRENE LOEB,0,MANHATTAN,0,0,0,0,0,0,0
BARRETTO PARK,0,BRONX,0,0,0,0,0,0,0
ABYSSINIAN TOT LOT,0,MANHATTAN,0,0,0,0,0,0,0
ALEXANDER'S ALLEY,0,BRONX,0,0,0,0,0,0,0
EAST FLATBUSH CHILDREN'S PARK,0,BROOKLYN,0,0,0,0,0,0,0
CORONA HEALTH SANCTUARY,0,QUEENS,0,0,0,0,0,0,0
MOHEGAN TRIANGLE,0,BRONX,0,0,0,0,0,0,0
PLAYGROUND OF THE AMERICAS,0,MANHATTAN,0,0,0,0,0,0,0
PRIVATE WILLIAM GRAY PARK,0,QUEENS,0,0,0,0,0,0,0
ADRIENNE'S PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
,,,2,23,307,191,15,447,5
