PARK,TOTAL,BOROUGH,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE
JOHN GOLDEN PARK,0,QUEENS,0,0,0,0,0,0,0
BAYVIEW TERRACE PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
JONES WOODS PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
FRANCIS LEWIS PARK,0,QUEENS,0,0,0,0,0,0,0
LEIF ERICSON PARK,1,BROOKLYN,0,0,0,0,0,1,0
EIBS POND PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
RAILROAD PARK QUEENS,0,QUEENS,0,0,0,0,0,0,0
BREUKELEN BALLFIELDS,0,BROOKLYN,0,0,0,0,0,0,0
FRANZ SIGEL PARK,4,BRONX,0,0,3,1,0,0,0
THOMAS JEFFERSON PARK,6,MANHATTAN,0,0,0,3,0,3,0
ALICE AUSTEN PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
MILL POND PARK,0,BRONX,0,0,0,0,0,0,0
SHERMAN CREEK,0,MANHATTAN,0,0,0,0,0,0,0
HARRIS PARK,1,BRONX,0,0,0,1,0,0,0
GOODHUE,0,STATEN ISLAND,0,0,0,0,0,0,0
MULLALY PARK,7,BRONX,0,0,3,2,0,2,0
TREMONT PARK,1,BRONX,0,0,0,0,0,1,0
CARL SCHURZ PARK,1,MANHATTAN,0,0,0,0,0,1,0
GRAND ARMY PLAZA BROOKLYN,2,BROOKLYN,0,0,0,0,0,2,0
VON BRIESEN PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
MOTOR PARKWAY,0,QUEENS,0,0,0,0,0,0,0
UNNAMED PARK ON BEACH CHANNEL DRIVE & BEACH 116TH STREET TO BEACH 108TH STREET,0,QUEENS,0,0,0,0,0,0,0
BEACH 17 PLAYGROUND,1,QUEENS,0,0,1,0,0,0,0
TUDOR PARK,0,QUEENS,0,0,0,0,0,0,0
AQUEDUCT WALK,5,BRONX,0,0,3,2,0,0,0
FATHER MACRIS PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
STARLIGHT PARK,1,BRONX,0,0,0,1,0,0,0
JACKIE ROBINSON PARK MANHATTAN,6,MANHATTAN,0,0,3,2,0,1,0
BROOKLYN MUSEUM,0,BROOKLYN,0,0,0,0,0,0,0
BEACH CHANNEL PARK,0,QUEENS,0,0,0,0,0,0,0
GREENBELT NATIVE PLANT CENTER,0,STATEN ISLAND,0,0,0,0,0,0,0
BOWNE PARK,0,QUEENS,0,0,0,0,0,0,0
SETON PARK,1,BRONX,0,0,1,0,0,0,0
RUFUS KING PARK,5,QUEENS,0,0,3,0,0,2,0
FRANK GOLDEN PARK,0,QUEENS,0,0,0,0,0,0,0
ST. JAMES PARK,4,BRONX,0,0,1,2,0,1,0
RICHMOND TERRACE WETLANDS,0,STATEN ISLAND,0,0,0,0,0,0,0
BARRETTO POINT PARK,0,BRONX,0,0,0,0,0,0,0
ST. ALBANS PARK,1,QUEENS,0,0,0,0,0,1,0
GEMINI FIELDS,0,QUEENS,0,0,0,0,0,0,0
GIVANS CREEK WOODS,0,BRONX,0,0,0,0,0,0,0
BETSY HEAD PARK,4,BROOKLYN,0,0,3,0,0,1,0
TOMPKINS SQUARE PARK,10,MANHATTAN,0,0,1,0,0,9,0
CPL. THOMPSON PARK,5,STATEN ISLAND,0,0,2,2,0,1,0
COMMODORE BARRY PARK,0,BROOKLYN,0,0,0,0,0,0,0
CADMAN PLAZA PARK,0,BROOKLYN,0,0,0,0,0,0,0
BROADWAY MALLS,0,MANHATTAN,0,0,0,0,0,0,0
STEEPLECHASE PARK,0,BROOKLYN,0,0,0,0,0,0,0
HUNTER'S POINT SOUTH PARK,1,QUEENS,0,0,0,0,0,1,0
UNNAMED PARK ON RICHMOND TERRACE,0,STATEN ISLAND,0,0,0,0,0,0,0
HYBRID OAK WOODS PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
WASHINGTON SQUARE PARK,19,MANHATTAN,0,0,0,2,0,17,0
BRYANT PARK,15,MANHATTAN,0,0,0,0,0,15,0
ROCKAWAY FREEWAY,0,QUEENS,0,0,0,0,0,0,0
BICENTENNIAL VETERANS MEMORIAL PARK,0,BRONX,0,0,0,0,0,0,0
SUNSET COVE PARK,0,QUEENS,0,0,0,0,0,0,0
ST. JOHN'S RECREATION CENTER,6,BROOKLYN,0,0,4,2,0,0,0
LINDEN PARK,4,BROOKLYN,0,0,1,2,0,1,0
HAFFEN PARK,0,BRONX,0,0,0,0,0,0,0
ALLISON POND PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
GRANITEVILLE SWAMP PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
TOTTENVILLE SHORE PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
CAPTAIN TILLY PARK,4,QUEENS,0,1,3,0,0,0,0
HARVEY PARK,0,QUEENS,0,0,0,0,0,0,0
MSGR. MCGOLRICK PARK,3,BROOKLYN,0,0,1,0,0,2,0
BUSHWICK INLET PARK,1,BROOKLYN,0,0,0,0,0,1,0
HENRY HUDSON PARK,0,BRONX,0,0,0,0,0,0,0
FRANK PRINCIPE PARK,0,QUEENS,0,0,0,0,0,0,0
CASTLE HILL PARK,0,BRONX,0,0,0,0,0,0,0
ROCHDALE PARK,2,QUEENS,0,0,1,1,0,0,0
ABE STARK SKATING RINK,1,BROOKLYN,0,0,0,0,0,1,0
CITY HALL PARK,3,MANHATTAN,0,0,0,0,0,3,0
EAST RIVER WATERFRONT ESPLANADE,1,MANHATTAN,0,0,0,0,0,1,0
CROTONA PARKWAY MALLS,0,BRONX,0,0,0,0,0,0,0
CONEY ISLAND CREEK PARK,0,BROOKLYN,0,0,0,0,0,0,0
MILL ROCK PARK,0,MANHATTAN,0,0,0,0,0,0,0
EAST RIVER ESPLANADE E 90TH ST TO E 125TH ST,0,MANHATTAN,0,0,0,0,0,0,0
JOHN J CARTY PARK,0,BROOKLYN,0,0,0,0,0,0,0
COFFEY PARK,1,BROOKLYN,0,0,0,0,0,1,0
BARRETT PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
RAINEY PARK QUEENS,0,QUEENS,0,0,0,0,0,0,0
LAGUARDIA LANDING LIGHTS,0,QUEENS,0,0,0,0,0,0,0
CITY ISLAND WETLANDS,0,BRONX,0,0,0,0,0,0,0
SARA D. ROOSEVELT PARK,11,MANHATTAN,0,0,1,4,0,6,0
EWEN PARK,1,BRONX,0,0,1,0,0,0,0
HERBERT VON KING PARK,0,BROOKLYN,0,0,0,0,0,0,0
MOUNT PROSPECT PARK,1,BROOKLYN,0,0,1,0,0,0,0
RAINEY PARK BRONX,2,BRONX,0,0,1,1,0,0,0
DETECTIVE KEITH L WILLIAMS PARK,1,QUEENS,0,0,1,0,0,0,0
FLUSHING FIELDS,0,QUEENS,0,0,0,0,0,0,0
PALMER INLET,0,BRONX,0,0,0,0,0,0,0
MIDLAND FIELD,0,STATEN ISLAND,0,0,0,0,0,0,0
SCHMUL PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
